,Region,% Russians,unemp,median_income,share_poverty
0,Российская Федерация,80.85,4.8,30083.1,11.0
1,Белгородская область,95.29,4.2,28019.4,7.0
2,Брянская область,95.87,3.4,24952.2,13.0
3,Владимирская область,95.76,3.9,23628.9,11.8
4,Воронежская область,95.64,3.8,26957.3,7.9
5,Ивановская область,95.98,4.5,23287.8,12.9
6,Калужская область,90.35,4.0,28177.4,8.9
7,Костромская область,96.11,4.4,23799.4,11.8
8,Курская область,95.93,4.0,26062.2,9.1
9,Липецкая область,96.68,4.2,27583.1,8.1
10,Московская область,92.14,3.4,41992.9,6.0
11,Орловская область,95.34,4.7,23904.6,12.1
12,Рязанская область,94.57,4.0,24489.9,12.4
13,Смоленская область,94.71,5.0,23972.4,14.3
14,Тамбовская область,95.61,3.9,24445.4,10.5
15,Тверская область,94.16,3.9,25323.4,10.8
16,Тульская область,94.1,3.8,26428.2,9.7
17,Ярославская область,96.52,5.9,26858.2,8.9
18,Москва,90.21,2.6,65117.7,5.5
19,Республика Карелия,86.4,6.6,29119.0,14.4
20,Республика Коми,69.69,7.0,30869.4,15.3
21,Архангельская область,96.23,6.6,31608.5,12.3
22,Архангельская область без АО,97.44,6.6,30605.6,11.7
23,Ненецкий АО,69.57,7.1,63282.9,9.3
24,Вологодская область,96.71,4.7,25702.5,12.4
25,Калининградская область,91.3,5.0,26052.0,13.4
26,Ленинградская область,93.73,3.7,29774.5,7.9
27,Мурманская область,89.93,5.8,42191.4,9.3
28,Новгородская область,95.43,4.1,24106.3,12.9
29,Псковская область,95.78,4.7,23766.1,14.6
30,Санкт-Петербург,90.63,2.0,43496.1,5.0
31,Республика Адыгея,64.43,8.3,26050.9,11.5
32,Республика Калмыкия,25.71,9.0,17678.9,22.6
33,Республика Крым,72.94,5.8,21650.5,16.2
34,Краснодарский край,92.34,5.0,32239.3,9.7
35,Астраханская область,67.1,7.7,21812.2,15.5
36,Волгоградская область,92.52,4.9,22529.7,11.3
37,Ростовская область,91.69,4.0,26833.7,12.0
38,Севастополь,90.11,4.2,26945.4,10.5
39,Республика Дагестан,3.26,15.1,23604.8,14.7
40,Республика Ингушетия,0.67,30.9,15185.0,29.3
41,Кабардино-Балкария,19.84,11.7,21245.7,18.1
42,Карачаево-Черкесия,27.55,12.3,17067.9,22.1
43,Северная Осетия,18.91,13.4,21104.8,13.4
44,Чеченская Республика,1.21,14.5,20939.7,19.8
45,Ставропольский край,82.9,5.3,21288.9,13.0
46,Республика Башкортостан,37.49,4.3,24981.8,11.4
47,Республика Марий Эл,52.51,5.3,18744.4,17.9
48,Республика Мордовия,54.09,4.2,18503.2,16.5
49,Республика Татарстан,40.34,2.6,30607.8,6.2
50,Удмуртская Республика,67.71,4.5,22867.5,11.3
51,Чувашская Республика,30.7,4.8,19390.1,15.7
52,Пермский край,89.41,4.6,25489.8,12.8
53,Кировская область,92.78,4.9,22169.2,13.3
54,Нижегородская область,95.21,4.2,29106.5,8.4
55,Оренбургская область,79.29,4.7,21237.1,13.7
56,Пензенская область,87.57,4.2,21525.2,12.0
57,Самарская область,89.61,3.5,25923.0,11.7
58,Саратовская область,89.7,4.5,20929.5,14.0
59,Ульяновская область,77.49,4.3,21844.5,13.8
60,Курганская область,93.4,7.6,19429.7,18.5
61,Свердловская область,92.32,4.1,30834.4,8.6
62,Тюменская область,76.41,3.2,38834.4,11.4
63,Тюменская область без АО,85.85,4.4,26661.0,13.2
64,Ханты-Мансийский АО,70.3,2.6,44285.2,8.2
65,Ямало-Hенецкий АО,62.89,2.1,68995.9,4.6
66,Челябинская область,86.34,4.9,24323.7,12.0
67,Республика Алтай,53.7,12.0,18812.2,22.4
68,Республика Тыва,10.12,15.0,16491.5,28.2
69,Республика Хакасия,82.14,6.4,21760.8,17.9
70,Алтайский край,95.45,5.5,20783.2,16.5
71,Красноярский край,93.64,3.6,28027.7,15.9
72,Иркутская область,92.21,6.0,24244.2,16.4
73,Кемеровская область,95.28,5.4,22870.0,12.5
74,Новосибирская область,94.15,6.1,27549.5,12.9
75,Омская область,88.71,6.5,23727.1,12.8
76,Томская область,93.38,6.8,25215.6,13.5
77,Республика Бурятия,63.95,9.5,22838.6,19.5
78,Якутия,32.63,6.9,38296.0,16.3
79,Забайкальский край,89.22,9.3,24139.5,19.3
80,Камчатский край,88.3,3.5,47671.6,13.9
81,Приморский край,94.42,4.2,32348.5,12.3
82,Хабаровский край,92.86,3.1,35331.7,12.0
83,Амурская область,95.17,5.2,30522.8,14.2
84,Магаданская область,87.71,4.9,61765.5,7.9
85,Сахалинская область,91.2,5.2,48574.2,7.4
86,Еврейская АО,95.67,5.6,25377.5,22.4
87,Чукотский АО,54.21,2.6,74821.5,7.3
